gene,log2FC,pvalue,mean_cancer,mean_normal,FDR
UQCRFS1,-0.390081121132404,7.580027615011072e-13,11.14289364508982,11.532974766222225,7.0158184397837106e-12
UQCRH,-0.12233834609580896,0.010381723912901254,12.254549437904192,12.376887784000001,0.023515873985464873
UQCRQ,-0.6057176475781763,1.5346185897515875e-17,11.402513673532933,12.00823132111111,2.4937552083463297e-16
URB1,-0.0018072538766471524,0.9801156144652161,4.453943893323353,4.4557511472,0.9875394248266753
URB2,0.30459034304723875,3.2385263851374705e-10,5.279514786269461,4.974924443222222,2.1158618986849036e-09
URGCP,0.15114817354743693,0.007535898723830721,6.919453470502994,6.768305296955557,0.01757429036808143
URI1,0.24652806677298855,7.74707016993601e-06,9.62390655039521,9.377378483622222,2.8939259671532397e-05
URM1,0.16202843315129822,0.012114668987858741,6.7395494700179635,6.577521036866665,0.02709517365026471
UROC1,-0.009058894006786833,0.5357992606433363,2.13287355305988,2.141932447066667,0.6600488388262281
UROD,-0.05249920908529759,0.3676507977857987,9.811466240203593,9.86396544928889,0.5035528436599266
UROS,-0.24864944809727252,0.003613748255081391,7.101629425191617,7.3502788732888895,0.00894639256397557
USB1,1.533891350135197,2.0484232028996805e-28,6.313400433179641,4.779509083044444,1.4245569265150362e-26
USE1,-0.15631334817258846,0.020370423190630673,6.994560713071857,7.150874061244445,0.04342046605194986
USF1,0.09169933235542205,0.020923684912850564,2.3292420628443113,2.2375427304888893,0.04444656121121724
USF2,0.07136279480505525,0.3147442601101134,7.642451791916168,7.571088997111112,0.447538914381915
USH1C,0.009605863590286035,0.6728850171885868,2.2910402636347307,2.2814344000444446,0.771941896975274
USH1G,0.03945565369567605,0.008018682178419076,3.1726503009401195,3.1331946472444434,0.018580863706930167
USH2A,-0.00047252472481718044,0.916568033003129,2.2318789909640717,2.232351515688889,0.9479666550582632
USHBP1,-0.19435001554371256,0.014116958818936454,2.8232263828562876,3.0175763984,0.031102168298244203
USMG5,-0.5516007819973403,9.756926405981558e-18,12.889729383113774,13.441330165111115,1.6354467118597658e-16
USO1,-0.6866997751916148,1.1397780307380973e-22,10.363748718808383,11.050448493999998,3.642195718336266e-21
USP1,0.21347406077564557,0.0003233978370849402,9.849400131508979,9.635926070733333,0.0009545075480525583
USP10,0.3322306514420479,9.520078387051952e-10,8.382253050197605,8.050022398755557,5.8569344849623194e-09
USP11,0.3262664775353281,0.0012503266753582673,7.657706422335329,7.3314399448000005,0.0033624205844143343
USP12,0.32160247195568914,0.0004536736684423125,7.59543813415569,7.273835662200001,0.0013084650868473604
USP13,-0.48650560160691914,0.033227029185960454,6.560659639904192,7.047165241511111,0.0672178981233223
